Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
ES;Sevilla;ES1450A;37.3983099994815, -5.95165;NO;EEA Spain;µg/m³;4.0;2023-08-10T07:00:00+10:00;Spain
MX;Chihuahua;SUR;28.632775000000002, -106.03886694443999;SO2;Sinaica Mexico;ppm;0.003;2023-08-10T06:00:00+10:00;Mexico
PL;Żary;Żary, ul. Szymanowskiego;51.642656, 15.127807999999998;BC;GIOS;µg/m³;0.0;2023-06-15T09:00:00+10:00;Poland
TH;Chachoengsao;Municipality Office Tungsadao;13.5885, 101.2863333;NO2;Air4Thai;ppm;0.0;2023-01-20T14:00:00+10:00;Thailand
IN;;Murthal, Sonipat - HSPCB;29.027199999999997, 77.0621;SO2;caaqm;µg/m³;15.8;2022-10-17T02:00:00+10:00;India
IN;;Kamalnath Nagar, Bettiah - BSPCB;26.80365, 84.51954;PM10;caaqm;µg/m³;233.0;2022-10-17T01:45:00+10:00;India
HU;Baranya;HU0029A;46.0802764894636, 18.21112251;NO2;EEA Hungary;µg/m³;9.1981193;2023-08-10T10:00:00+10:00;Hungary
IT;;IT0267A;45.329444, 9.414722;SO2;EEA Italy;µg/m³;1.591092;2022-03-14T21:00:00+10:00;Italy
TR;Muğla;Milas Hayıtlı;37.3112111, 27.7829332;NO2;Turkey;µg/m³;99.0;2016-12-12T16:00:00+10:00;Turkey
CA;;AJ Ottewell Communit;53.53209, -113.32098;NO2;AirNow;ppm;0.002;2023-08-09T23:00:00+10:00;Canada
MX;Tuxtla Gutiérrez;Palacio Municipal;16.753166666667, -93.114944444444;CO;Sinaica Mexico;ppm;2.700143218587239;2023-08-10T08:00:00+10:00;Mexico
CZ;Liberecký;CZ0LLIL;50.7551002502441, 15.0699672698975;PM10;EEA Czech Republic;µg/m³;7.5;2023-08-10T08:00:00+10:00;Czech Republic
PT;Porto;PT01024;41.235556, -8.618611;PM10;EEA Portugal;µg/m³;11.3;2023-06-15T15:00:00+10:00;Portugal
